561849.615011,4146882.83098
561849.500402,4146882.99168
561849.270894,4146883.31338
561849.270894,4146883.31338
561849.156123,4146883.47425
561849.041159,4146883.63528
561848.926078,4146883.79653
561848.810875,4146883.95777
561848.695656,4146884.11918
561848.580304,4146884.28059
561848.46505,4146884.44209
561848.349593,4146884.60363
561848.234086,4146884.76532
561848.118559,4146884.92699
561848.003016,4146885.08875
561847.887349,4146885.25058
561847.771578,4146885.4125
561847.655824,4146885.57446
561847.539992,4146885.73647
561847.424075,4146885.89859
561847.308141,4146886.0608
561847.192199,4146886.223
561847.076241,4146886.38529
561846.960212,4146886.54768
561846.844136,4146886.71023
561846.728017,4146886.87277
561846.611998,4146887.03539
561846.495788,4146887.19812
561846.379567,4146887.3609
561846.263293,4146887.52371
561846.14699,4146887.68656
561846.030585,4146887.84938
561845.914093,4146888.01246
561845.7976,4146888.17552
561845.681124,4146888.33862
561845.564577,4146888.50183
561845.447935,4146888.66504
561845.331195,4146888.82833
561845.21454,4146888.99163
561845.097787,4146889.15512
561844.981019,4146889.31861
561844.864207,4146889.48208
561844.747355,4146889.64566
561844.630365,4146889.80923
561844.396282,4146890.13672
561844.396282,4146890.13672
561844.279295,4146890.30039
561844.162174,4146890.46427
561844.045037,4146890.6283
561843.927868,4146890.79227
561843.810661,4146890.95645
561843.693487,4146891.12056
561843.576197,4146891.28484
561843.458891,4146891.44909
561843.341532,4146891.61347
561843.224078,4146891.77791
561843.106607,4146891.94242
561842.989158,4146892.10699
561842.87169,4146892.27171
561842.754179,4146892.43644
561842.636641,4146892.60126
561842.519134,4146892.76614
561842.401459,4146892.93114
561842.283807,4146893.09617
561842.16612,4146893.26129
561842.048368,4146893.42646
561841.930611,4146893.59171
561841.812768,4146893.75702
561841.694853,4146893.92238
561841.57693,4146894.0878
561841.45891,4146894.25327
561841.340864,4146894.41881
561841.222782,4146894.58447
561841.104694,4146894.75019
561840.986522,4146894.91593
561840.868311,4146895.08175
561840.750098,4146895.24759
561840.631808,4146895.41345
561840.513495,4146895.57936
561840.39501,4146895.74543
561840.276549,4146895.91149
561840.158054,4146896.07761
561840.039464,4146896.2438
561839.920833,4146896.41003
561839.80215,4146896.57629
561839.683448,4146896.74258
561839.564659,4146896.90898
561839.445832,4146897.07546
561839.32701,4146897.24194
561839.208148,4146897.4085
561839.089174,4146897.57515
561838.970194,4146897.74185
561838.851127,4146897.90853
561838.732109,4146898.07538
561838.612929,4146898.24223
561838.493773,4146898.40916
561838.374492,4146898.57616
561838.255241,4146898.74316
561838.135954,4146898.91021
561838.016556,4146899.07746
561837.897169,4146899.24467
561837.777814,4146899.41196
561837.538839,4146899.74679
561837.538839,4146899.74679
561837.41932,4146899.91422
561837.299742,4146900.08175
561837.17955,4146900.2495
561837.059201,4146900.41733
561836.938856,4146900.58522
561836.818441,4146900.75322
561836.697968,4146900.92127
561836.577454,4146901.08943
561836.456947,4146901.25757
561836.336348,4146901.42578
561836.215722,4146901.59409
561836.095039,4146901.7624
561835.97429,4146901.93077
561835.853531,4146902.09923
561835.732686,4146902.26779
561835.611848,4146902.43635
561835.491003,4146902.60497
561835.370102,4146902.77366
561835.249114,4146902.9425
561835.128107,4146903.11133
561835.007089,4146903.28016
561834.886023,4146903.44909
561834.764851,4146903.61818
561834.643686,4146903.78728
561834.522532,4146903.95637
561834.401311,4146904.12564
561834.280019,4146904.29495
561834.158716,4146904.46428
561834.037401,4146904.63367
